#Energy	tdos
-32.11489	0
-32.10189	0
-32.08889	0
-32.07589	0
-32.06289	0
-32.05089	0
-32.03789	0
-32.02489	0
-32.01189	0
-31.99889	0
-31.98589	0
-31.97289	0
-31.95989	0
-31.94689	0
-31.93389	0
-31.92089	0
-31.90789	0
-31.89589	0
-31.88289	0
-31.86989	0
-31.85689	0
-31.84389	0
-31.83089	0
-31.81789	0
-31.80489	0
-31.79189	0
-31.77889	0
-31.76589	0
-31.75389	0
-31.74089	0
-31.72789	0
-31.71489	0
-31.70189	0
-31.68889	0
-31.67589	0
-31.66289	0
-31.64989	0
-31.63689	0
-31.62389	0
-31.61089	0
-31.59889	0
-31.58589	0
-31.57289	0
-31.55989	0
-31.54689	0
-31.53389	0
-31.52089	0
-31.50789	0
-31.49489	0
-31.48189	0
-31.46889	0
-31.45689	0
-31.44389	0
-31.43089	0
-31.41789	0
-31.40489	0
-31.39189	0
-31.37889	0
-31.36589	0
-31.35289	0
-31.33989	0
-31.32689	0
-31.31389	0
-31.30189	0
-31.28889	0
-31.27589	0
-31.26289	0
-31.24989	0
-31.23689	0
-31.22389	0
-31.21089	0
-31.19789	0
-31.18489	0
-31.17189	0
-31.15989	0
-31.14689	0
-31.13389	0
-31.12089	0
-31.10789	0
-31.09489	0
-31.08189	0
-31.06889	0
-31.05589	0
-31.04289	0
-31.02989	0
-31.01689	0
-31.00489	0
-30.99189	0
-30.97889	0
-30.96589	0
-30.95289	0
-30.93989	0
-30.92689	0
-30.91389	0
-30.90089	0
-30.88789	0
-30.87489	0
-30.86289	0
-30.84989	0
-30.83689	0
-30.82389	0
-30.81089	0
-30.79789	0
-30.78489	0
-30.77189	0
-30.75889	0
-30.74589	0
-30.73289	0
-30.71989	0
-30.70789	0
-30.69489	0
-30.68189	0
-30.66889	0
-30.65589	0
-30.64289	0
-30.62989	0
-30.61689	0
-30.60389	0
-30.59089	0
-30.57789	0
-30.56589	0
-30.55289	0
-30.53989	0
-30.52689	0
