#Energy	tdos
-31.68729	0
-31.67429	0
-31.66129	0
-31.64829	0
-31.63529	0
-31.62229	0
-31.61029	0
-31.59729	0
-31.58429	0
-31.57129	0
-31.55829	0
-31.54529	0
-31.53229	0
-31.51929	0
-31.50629	0
-31.49429	0
-31.48129	0
-31.46829	0
-31.45529	0
-31.44229	0
-31.42929	0
-31.41629	0
-31.40329	0
-31.39029	0
-31.37829	0
-31.36529	0
-31.35229	0
-31.33929	0
-31.32629	0
-31.31329	0
-31.30029	0
-31.28729	0
-31.27529	0
-31.26229	0
-31.24929	0
-31.23629	0
-31.22329	0
-31.21029	0
-31.19729	0
-31.18429	0
-31.17129	0
-31.15929	0
-31.14629	0
-31.13329	0
-31.12029	0
-31.10729	0
-31.09429	0
-31.08129	0
-31.06829	0
-31.05529	0
-31.04329	0
-31.03029	0
-31.01729	0
-31.00429	0
-30.99129	0
-30.97829	0
-30.96529	0
-30.95229	0
-30.93929	0
-30.92729	0
-30.91429	0
-30.90129	0
-30.88829	0
-30.87529	0
-30.86229	0
-30.84929	0
-30.83629	0
-30.82329	0
-30.81129	0
-30.79829	0
-30.78529	0
-30.77229	0
-30.75929	0
-30.74629	0
-30.73329	0
-30.72029	0
-30.70829	0
-30.69529	0
-30.68229	0
-30.66929	0
-30.65629	0
-30.64329	0
-30.63029	0
-30.61729	0
-30.60429	0
-30.59229	0
-30.57929	0
-30.56629	0
-30.55329	0
-30.54029	0
-30.52729	0
-30.51429	0
-30.50129	0
-30.48829	0
-30.47629	0
-30.46329	0
-30.45029	0
-30.43729	0
-30.42429	0
-30.41129	0
-30.39829	0
-30.38529	0
-30.37229	0
-30.36029	0
-30.34729	0
-30.33429	0
-30.32129	0
-30.30829	0
-30.29529	0
-30.28229	0
-30.26929	0
-30.25629	0
-30.24429	0
-30.23129	0
-30.21829	0
-30.20529	0
-30.19229	0
-30.17929	0
-30.16629	0
-30.15329	0
-30.14129	0
-30.12829	0
-30.11529	0
-30.10229	0
-30.08929	0
-30.07629	0.00002
-30.06329	0.00009
-30.05029	0.00037
-30.03729	0.0013
-30.02529	0.00405
-30.01229	0.0112
-29.99929	0.02755
-29.98629	0.0605
-29.97329	0.1194
-29.96029	0.2138
-29.94729	0.3528
-29.93429	0.5475
-29.92129	0.8168
-29.90929	1.19
-29.89629	1.694
-29.88329	2.327
-29.87029	3.029
-29.85729	3.691
-29.84429	4.209
-29.83129	4.559
-29.81829	4.829
-29.80529	5.191
-29.79329	5.826
-29.78029	6.847
-29.76729	8.277
-29.75429	10.05
-29.74129	12.04
-29.72829	14.11
-29.71529	16.19
-29.70229	18.29
-29.69029	20.4
-29.67729	22.39
-29.66429	23.91
-29.65129	24.44
-29.63829	23.55
-29.62529	21.09
-29.61229	17.38
-29.59929	13.05
-29.58629	8.871
-29.57429	5.425
-29.56129	2.971
-29.54829	1.451
-29.53529	0.6302
-29.52229	0.2427
-29.50929	0.08274
-29.49629	0.02493
-29.48329	0.00663
-29.47029	0.00156
-29.45829	0.00032
-29.44529	0.00006
-29.43229	0.00001
-29.41929	0
-29.40629	0
-29.39329	0
-29.38029	0
-29.36729	0
-29.35429	0
-29.34229	0
-29.32929	0
